Sensor vs Time;21.11.2011 00:00:00;21.11.2011 01:00:00;21.11.2011 02:00:00;21.11.2011 03:00:00;21.11.2011 04:00:00;21.11.2011 05:00:00;21.11.2011 06:00:00;21.11.2011 07:00:00;21.11.2011 08:00:00;21.11.2011 09:00:00;21.11.2011 10:00:00;21.11.2011 11:00:00;21.11.2011 12:00:00;21.11.2011 13:00:00;21.11.2011 14:00:00;21.11.2011 15:00:00;21.11.2011 16:00:00;21.11.2011 17:00:00;21.11.2011 18:00:00;21.11.2011 19:00:00;21.11.2011 20:00:00;21.11.2011 21:00:00;21.11.2011 22:00:00;21.11.2011 23:00:00
DXB021G;0;0;0;0;0;0;0,536111;2,675;5,761111;7,311111;5,325;7,011111;8,377778;8,697222;8,175;8,694445;8,177778;9,2;9,722222;5,375;7,602778;5,727778;0;0
DXB023A;0,644444;0,45;0,219444;0,15;0,055556;0,127778;0,158333;1,161111;2,344445;3,263889;4,925;3,305556;3,119444;3,358333;3,602778;3,861111;4,747222;3,910863;4,066482;4,601671;2,806094;4,005555;2,461111;0,679666
DXB025A;0,016667;0,058333;0,002778;0;0,055556;0,005556;0,047222;0,213889;1,272222;0,458333;0,638889;0,591667;0,266667;0,363889;0,938889;1,355556;1,819444;1,733333;1,530556;1,45;0,927778;0,808333;0,716667;0,808333
DXB025B;0,075;0,119444;0,058333;0,908333;0,052778;0,022222;0,044444;0,044444;0,463889;1,097222;0,394444;0,902778;1,316667;0,961111;1,291667;1,488889;1,463889;1,458333;0,994444;0,736111;1,252778;0,686111;0,322222;0,144445
DXB025C;1,369444;0,130556;0,408333;0,072222;0,05;0,086111;0,222222;1,780556;5,425;8,333333;7,525;9,447222;8,688889;8,058333;9,244445;8,475;9,555555;9,894444;10,13056;9,738889;6,994444;6,216667;3,094445;2,311111
DXB026A;2,016667;0,416667;0,072222;0,961111;1,005556;1,061111;0,466667;1,591667;2,886111;1,822222;3,161111;2,588889;1,733333;2,961111;1,975;3,213889;4,408333;5,565452;7,561111;5,144083;6,303621;4,811111;3,315789;2,710306
DXB026B;0,158333;0,163889;0,047222;0,013889;0,063889;0,013889;0,05;0,538889;1,005556;1,619444;1,130556;1,563889;1,611111;1,230556;1,811111;1,336111;2,097222;1,824512;2,4;2,166205;1,688022;2,588873;0,786704;0,5961
DXB026C;2,686111;2,505556;1,377778;1,125;0,994444;1,161111;2,383333;3,958333;5,586111;5,397222;7,35;7,827778;5,175;5,480556;6;7,858333;6,983333;9,239554;10,60278;10,96132;10,13928;8,966566;6,706371;4,640668
DXB028A;0,269444;0,133333;0,036111;0,008333;0,066667;0,047222;0,077778;0,905555;1,744444;2,633333;2,888889;1,780556;2,994444;4,291667;3,558333;4,238889;3,5;3,72702;5,351801;4,827298;4,606648;3,575;4,169445;2,292479
DXB028B;1,980556;0,244444;0,161111;0;0,236111;0,116667;0,341667;1,505556;3,194444;6,613889;6,197222;6,288889;5,447222;6,752778;8,863889;8,086111;8,986111;6,376045;6,00277;6,350975;6,429363;5,788889;5,011111;1,426184
DXB028C;0,208333;0,163889;0,105556;0,008333;0,05;0,033333;0,725;1,186111;2,608333;2,883333;4,202778;3,655555;3,680556;4,819445;3,802778;3,291667;4,994444;7,013927;5,759003;4,927577;4,445983;2,419445;0,605556;2,311978
DXB094A;0;0;0;0;0;0;0;0,466667;0,458333;0,625;0,586111;0,941667;0,327778;0,241667;0,702778;0,505556;0,080556;0,275;0,413889;0,058333;0,097222;0,016667;0,047222;0
DXB094B;0;0;0;0;0;0;0,002778;0,202778;0,391667;0,536111;0,502778;0,6;0,552778;1,25;0,658333;0,825;0,991667;0,222222;0,444444;0,166667;0,044444;0,013889;0,019444;0
DXB094C;0;0;0;0;0;0;0,038889;0,241667;0,141667;0,6;0,116667;0,733333;0,225;0,525;0,591667;1,094444;0,572222;0,197222;0,338889;0,058333;0,058333;0;0;0
DXB0A2A;0;0,044444;0,044444;0,058333;0;0;0;0,333333;0,388889;0,361111;0,463889;1,180556;1,122222;0,891667;0,819444;0,655555;1,244444;0,277778;0,127778;0,219444;0,15;0;0;0
DXB0Z8A;0,297222;0,163889;0,083333;0,016667;0,083333;0,141667;0,308333;0,786111;1,658333;2,952778;2,741667;1,938889;2,544445;3,4;3,038889;4,102778;3,705555;4,138889;3,136111;1,15;1,736111;0,519444;0,208333;0,244444
DXB0Z8B;0,119444;0,044444;0,094444;0,011111;0,136111;0,208333;0,430556;1,086111;2,627778;2,427778;2,252778;2,072222;1,855556;2,483333;2,327778;2,661111;3,086111;2,861111;2,469445;1,783333;1,944444;1,222222;0,386111;0,155556
DXB0Z8C;0,236111;0,208333;0,236111;0,266667;0,194444;0,405556;0,708333;3,55;5,783333;6,397222;6,555555;7,772222;7,133333;6,925;6,755556;5,352778;5,488889;5,205555;3,536111;2,755556;1,680556;1,397222;1,438889;0,875
DXB120A;0,080556;0,008333;0,016667;0;0,016667;0,075;0,066667;0,513889;1,8;1,080556;0,727778;0,727778;1,205556;0,616667;1,038889;1,488889;1,888889;1,548746;0,936288;1,178273;0,33241;0,483333;0,475;0,083566
DXB120B;1,458333;0,116667;0,041667;0,052778;0,111111;0,15;1,872222;1,763889;5,858334;4,422222;3,319444;4,302778;4,569445;4,227778;4,913889;5,402778;7,7;5,225627;5,783934;5,902507;6,855955;5,786111;3,961111;3,278552
DXB120C;0,075;0,102778;0,063889;0,027778;0,15;0,147222;0,258333;1,116667;4,336111;2,908333;1,808333;2,219445;1,747222;2,066667;1,788889;2,397222;2,794445;2,309192;1,961219;1,520891;0,922438;0,75;0,522222;0,194986
DXB126A;0,152778;0,161111;0,452778;0,283333;0,080556;0,136111;0,225;0,730556;2,144444;2,933333;3,258333;2,938889;1,769444;2,597222;1,9;1,830556;1,736111;1,630556;1,575;1,769444;1,9;1,013889;0,45;0,816667
DXB126C;0,144445;0,122222;0,077778;0,038889;0,058333;0,097222;0,272222;0,961111;4,463889;4,430555;2,461111;2,711111;1,672222;2,458333;2,480556;2,219445;2,508333;2,091667;2,786111;2,002778;1,227778;0,566667;0,455556;0,244444
DXB133A;0,697222;0,1;0,738889;0,352778;0,113889;0,027778;0,227778;2,247222;4,425;5,738889;5,947222;6,355556;5,844444;6,705556;6,325;7,644444;8,341667;6,816156;8,102493;9,069637;7,739612;7,063889;6,888888;4,036211
DXB133B;0,272222;0,361111;0,233333;0,016667;0,047222;0;0,411111;0,683333;2,094445;4,366667;5,863889;3,372222;3,363889;2,877778;3,191667;3,919445;3,380556;4,835655;3,869806;4,047354;3,634349;2,986111;2,955555;1,442897
DXB133C;0,202778;0,219444;0;0;0;0,002778;0,177778;0,861111;2,233333;2,591667;4,394444;4,991667;3,527778;3,65;2,866667;3,658333;2,177778;4,275766;4,639889;4,417827;3,3241;2,313889;0,655555;0,320334
DXB134A;3,080555;0,411111;0,555556;0,272222;0,266667;0,336111;0,422222;2,6;4,233333;5,105556;4,625;4,963889;5,7;5,975;5,616667;6,85;8,102777;7,222841;7,194445;7,601108;3,671309;5,041667;4,761773;3,423398
DXB134B;1,838889;0,722222;0,044444;0,022222;0,072222;0,236111;0,583333;1,1;3,430556;3,283333;5,363889;5,802778;4,747222;3,619445;2,780555;4,563889;5,227777;5,695745;6,186111;6,496322;3,994429;4,002331;3,678747;2,988046
DXB134C;0,5;0,077778;0,075;0,438889;1,019444;0,561111;0,566667;1,8;2,091667;3,172222;3,375;3,175;3,752778;2,847222;2,347222;4,097222;3,905555;3,952515;4,55;2,781163;3,73259;2,675;3,432133;2,481894
DXB139A;4,666667;4,355556;3,4;1,569444;1,247222;1,141667;0,836111;1,15;3,138889;4,513889;3,991667;2,6;3,466667;4,925;5,727778;4,686111;6,066667;5,833333;7,183333;5,897222;8,558333;8,133333;7,097222;4,258333
DXB139B;6,038889;0,591667;0,075;0;0;0,158333;0,177778;0,730556;1,933333;4,347222;7,791667;5,172222;6,783333;6,947222;4,488889;5,291667;4,902778;3,452778;4,463889;5,538889;6,097222;3,866667;4,641667;3,897222
DXB139C;7,044445;5,05;3,530555;2,888889;1,988889;2,080555;1,619444;2,3;4,391667;3,088889;3,338889;3,608333;4,638889;4,430555;4,436111;4,047222;4,302778;3,075;3,877778;3,541667;5,813889;5,080555;4,605556;4,102778
DXB193A;0;0;0;0;0;0;0;0;0,127778;0,058333;0,519444;0,130556;0,041667;0,066667;0,213889;0,166667;0,133333;0,227778;0,008333;0;0;0;0;0
DXB193B;0;0;0;0;0;0;0;0,166667;0,055556;0,025;0,102778;0,011111;0,033333;0,011111;0,075;0,188889;0,033333;0,002778;0;0;0;0;0;0
DXB194A;3,897222;3,380556;3,430556;2,836111;2,894444;1,347222;0,394444;1,633333;3,308333;3,95;5,638889;6,288889;5,022222;7,008333;9,091666;8,786111;11,98611;9,94429;11,24167;7,506925;5,869081;4,091667;6,700831;5,587744
DXB194B;3,525;3,977778;2,183333;1,616667;1,127778;1,238889;1,322222;1,466667;2,611111;4,091667;5,266667;4,719444;6,916667;6,597222;5,766667;6,997222;6,8;6,974628;6,180556;5,642659;7,122563;7,152639;6,401662;4,044568
DXB194C;1,072222;0,766667;0,655555;0,591667;0,233333;0,225;0,219444;0,363889;1,075;2,138889;2,438889;2,325;2,997222;3,291667;2,091667;3,133333;2,941667;3,061281;2,780555;2,905817;3,116992;2,444444;3,238227;1,816156
DXB194E;0;0;0;0;0;0;1,280556;1,680556;2,463889;2,663889;3,055556;4,347222;2,852778;3,241667;2,866667;2,766667;3,997222;3,972145;3,572222;3,052632;2,476323;3,916667;0;0
DXB194F;0;0;0;0;0;0;0,244444;0,933333;1,975;2,922222;3,175;4,055555;3,402778;2,741667;2,15;2,422222;2,122222;2,824512;1,902778;1,398892;1,551532;1,877778;0;0
DXB194G;0;0;0;0;0;0;0,505556;1,177778;2,613889;3,061111;2,791667;3,558333;3,377778;2,788889;2,738889;2,383333;2,483333;3,456825;3,230556;1,864266;1,62117;2,288889;0;0
DXB195A;0,472222;0,091667;0,044444;0,019444;0,038889;0,025;0,252778;0,686111;1,941667;3,308333;3,161111;2,880556;1,902778;2,816667;2,980556;2,938889;2,983333;2,498607;4,241667;3,603878;3,537605;1,544444;2,484765;0,699164
DXB195B;1,016667;0,313889;0;0;0,016667;0,033333;0,377778;0,613889;1,627778;2,072222;2,75;2,463889;2,6;4,047222;2,780555;2,602778;3,875;3,571031;3,563889;4,132964;2,523677;2,163889;2,304709;0,81337
DXB195C;0,022222;0,013889;0,002778;0;0,127778;0,002778;0,369444;0,619444;0,844445;1,355556;1,205556;1,291667;1,136111;3,072222;2,119444;2,752778;2,011111;1,685237;2,872222;2,01385;1,401114;2,652778;2,3241;1,339833
DXB198A;0,269444;0,127778;0,483333;0,172222;0,063889;0,011111;0,208333;0,891667;1,433333;2,652778;5,808333;5,955555;6,744444;6,225;8,752778;9,294444;8,744445;7,583333;5,608333;4,705555;1,777778;2,094445;1,705556;1,366667
DXB198B;0,4;0,422222;0,152778;0,094444;0,102778;0,013889;0,094444;0,744444;1,558333;2,527778;4,811111;6,105556;5,086111;6,666667;5,6;6,116667;5,916667;5,4;6,988889;4,097222;3,802778;2,041667;2,211111;1,016667
DXB198C;0,827778;0,419444;0,308333;1,061111;0,863889;0,569444;0,069444;0,188889;0,811111;0,555556;1,761111;2,686111;1,641667;2,344445;1,916667;1,705556;1,988889;1,411111;1,430556;0,997222;0,394444;0,086111;0,122222;0,147222
DXB199A;0;0;0;0;0;0;0;0;0,002778;0,047222;0,141667;0,677778;0,127778;0,2;0,116667;0,113889;0,261111;0,116667;0;0,019444;0,019444;0;0;0
DXB199B;0,036111;0;0,052778;0,013889;0;0;0;0,027778;0,241667;0,233333;0,238889;0,183333;0,475;0,258333;0,233333;0,325;0,266667;0,613889;0,372222;0,336111;0,116667;0,144445;0;0
DXB199C;0;0;0;0;0;0;0;0,011111;0,216667;0,191667;0,15;0,030556;0,344444;0,352778;0,188889;0,058333;0,202778;0,047222;0,011111;0,080556;0,011111;0,105556;0;0
DXB1G5A;0,052778;0,016667;0,027778;0,083333;0,041667;0,133333;0,025;0,436111;1,388889;3,563889;3,844445;4,411111;2,852778;2,891667;2,355556;1,719444;2,672222;1,797222;1,011111;1,508333;0,466667;0,563889;0,175;0,208333
DXB1G6A;0;0;0;0;0;0;0,013889;0,030556;0,294444;1,008333;0,794444;1,675;1,158333;0,425;0,886111;0,694444;0,752778;0,583333;0,458333;0,216667;0,108333;0;0;0
DXB1G7A;0,005556;0,016667;0,033333;0,033333;0;0;0,041667;0,061111;0,1;0,397222;0,577778;0,672222;0,358333;0,794444;0,530555;0,497222;0,322222;0,219444;0,069444;0,161111;0,038889;0,022222;0,019444;0,002778
DXB1M4A;0,55;0,033333;0,136111;0,069444;0,113889;0,111111;0,316667;0,7;0,780555;1,902778;2,394444;1,869444;1,922222;1,825;2,033333;2,716667;3,208333;2,088889;4,458333;1,847222;1,969444;2,330555;1,577778;0,425
